Nome do Evento,Data do Evento,Data de Fim,Link Evento,Andamento,Temperatura,Link do Grupo,Período,Temperatura_Label
Carreira de PM,2023-12-12 20:00:00,2023-12-12 22:00:00,https://carreiradepm.com.br/preparatorio-cpm/,Finalizado,1,,12/12/2023 20h - 12/12/2023 22h,❄️ FRIO
Intensivão Analise de Dados,2023-12-16 20:00:00,2023-12-19 22:00:00,https://lp.hashtagtreinamentos.com/analise-dados/intensivao/inscricao,Finalizado,5,,16/12/2023 20h - 19/12/2023 22h,🙃 MORNO
Semana EngExperience,2023-12-17 20:00:00,2023-12-19 22:00:00,https://www.anticriseacademy.com.br/inscricao-engexperience,Finalizado,5,,17/12/2023 20h - 19/12/2023 22h,🙃 MORNO
Tríade da Nutrição Aplicada,2023-09-16 20:00:00,2023-09-18 22:00:00,https://escolanutricaoaplicada.com.br/triade-da-nutricao/,Finalizado,10,,16/09/2023 20h - 18/09/2023 22h,🔥 QUENTE
Semana Queda Capilar na Estética,2023-09-17 20:00:00,2023-09-18 22:00:00,https://www.metodocabelon.com.br/incricao-sqc-tp-set-3-24/,Finalizado,10,,17/09/2023 20h - 18/09/2023 22h,🔥 QUENTE
Projeto Nutri High Ticket,2023-09-17 20:00:00,2023-09-19 22:00:00,https://jessicashuwen.com.br/pnht-0924/,Finalizado,10,,17/09/2023 20h - 19/09/2023 22h,🔥 QUENTE
Jornada da Gestão Financeira Marcenaria,2024-09-17 20:00:00,2024-09-19 22:00:00,https://gestaomarcenaria.com.br/inscrever-fbk,Finalizado,1,,17/09/2024 20h - 19/09/2024 22h,❄️ FRIO
DSV - Destrave Sua Vida,2023-09-17 20:00:00,2023-09-19 22:00:00,https://www.boracrescer.com.br/dsv,Finalizado,1,,17/09/2023 20h - 19/09/2023 22h,❄️ FRIO
Mentoria Genesis,2023-09-17 20:00:00,2023-09-19 22:00:00,https://mentoriagenesis.com.br/a-aula-mais-didatica/,Finalizado,10,,17/09/2023 20h - 19/09/2023 22h,🔥 QUENTE
Disney sem Filas,2023-09-17 20:00:00,2023-09-22 22:00:00,https://www.disneyguia.com.br/web/dsf-set24-inscrever-tfg/,Finalizado,1,,17/09/2023 20h - 22/09/2023 22h,❄️ FRIO
Viver de Consultoria de Imagem,2023-09-24 20:00:00,2023-09-29 22:00:00,https://www.escoladovestir.com.br/eventogratuito/lpinscricao-viver-de-consultoria-de-imagem-lp01,Finalizado,1,,24/09/2023 20h - 29/09/2023 22h,❄️ FRIO
Farma que Domina,2023-09-30 20:00:00,2023-09-30 22:00:00,https://farmalupires.com.br/farmaquedomina,Finalizado,5,,30/09/2023 20h - 30/09/2023 22h,🙃 MORNO
Jornada da Manipulação Magistral,2023-09-30 20:00:00,2023-10-06 22:00:00,https://absolucoesfarmaceuticas.com.br/jornada-da-manipulacao-magistral/inscrever-fb-ig/,Finalizado,5,,30/09/2023 20h - 06/10/2023 22h,🙃 MORNO
Os segredos para lucrar na Amazon,2023-09-23 20:00:00,2023-09-25 22:00:00,https://sellerprobrasil.com.br/segredo-amazon-a,Finalizado,5,,23/09/2023 20h - 25/09/2023 22h,🙃 MORNO
Workshop Beleza Essencial 3.0,2023-09-30 20:00:00,2023-10-06 22:00:00,https://janainalaurentino.com/beleza-essencial/inscricao-ads-l4/,Finalizado,10,,30/09/2023 20h - 06/10/2023 22h,🔥 QUENTE
Plano Definição,2024-01-13 20:00:00,2024-01-15 22:00:00,https://definidas.com.br/plano3,Finalizado,5,,13/01/2024 20h - 15/01/2024 22h,🙃 MORNO
Semana do Fabricante em Milhas,2024-01-20 20:00:00,2024-01-23 22:00:00,https://fabricademilha.com/sfm-lp7-b/,Finalizado,1,,20/01/2024 20h - 23/01/2024 22h,❄️ FRIO
Maratona Mães Sábias Filhos Vencedores,2024-02-03 09:00:00,2024-02-10 12:00:00,https://educandofilhosvencedores.com.br/msfv/v3/,Não começou,5,,03/02/2024 9h - 10/02/2024 12h,🙃 MORNO
Revolução da Eng. Diagnóstica,2024-01-28 20:00:00,2024-02-02 22:00:00,https://www.henriquebosco.com.br/revolucao-eng-diagnostica-cap,Não começou,5,,28/01/2024 20h - 02/02/2024 22h,🙃 MORNO
Corretor de Imóveis 20K,2024-01-28 20:00:00,2024-01-28 22:00:00,https://netocorretor.com.br/ig/,Não começou,5,,28/01/2024 20h - 28/01/2024 22h,🙃 MORNO
NetoLibras - PRÉ MATRICULA,2024-01-27 19:00:00,2024-01-27 21:00:00,https://chat.whatsapp.com/Hc3MDtH9gWWC1pcnjDCqv0,Não começou,5,,27/01/2024 19h - 27/01/2024 21h,🙃 MORNO
O Grande do Peim,2024-01-29 20:00:00,2024-01-30 22:00:00,https://lp.mayaramoura.com.br/ograndeplano-tf,Não começou,5,,29/01/2024 20h - 30/01/2024 22h,🙃 MORNO
Medicina ENEM,2024-02-03 19:00:00,2024-02-06 22:00:00,https://plataformaassaad.com.br/inscricao-b/,Não começou,1,,03/02/2024 19h - 06/02/2024 22h,❄️ FRIO
Imersão Estratégica Posição Fashion,2024-01-28 19:30:00,2024-01-30 19:30:00,https://fashionclass.miaumarketingdemoda.com.br/,Não começou,1,https://chat.whatsapp.com/K5Dfw2G9TZU6LTbZGMvRPc,28/01/2024 19h - 30/01/2024 19h,❄️ FRIO
Projeto Viva Sem Acne,2024-02-05 20:00:00,2024-02-05 22:00:00,https://dramichelecpereira.com.br/cadastro-viva-sem-acne-2/,Não começou,5,https://chat.whatsapp.com/BQ7zKj84Nab0olRtniZAqr,05/02/2024 20h - 05/02/2024 22h,🙃 MORNO
Jornada  da Organista e Confiante,2025-02-10 20:00:00,2025-02-10 20:00:00,https://organistaconfiante.com.br/tp-inscrever,Não começou,1,https://chat.whatsapp.com/HpoO4jH4Dad28q5IWbT6LN,10/02/2025 20h - 10/02/2025 20h,❄️ FRIO
Jornada das Orquídeas Floridas,2025-02-03 08:00:00,2025-02-03 08:00:00,https://rosemeri.com.br/inscricao/,Não começou,1,,03/02/2025 8h - 03/02/2025 8h,❄️ FRIO
O PESO DO INVISÍVEL ,2025-02-04 20:00:00,2025-02-04 20:00:00,https://dratassi.com.br/p-c/,Não começou,1,https://chat.whatsapp.com/GAPUz2ckUZAEKkRSrDoDHa,04/02/2025 20h - 04/02/2025 20h,
Semana da Enfermagem Oncológica,2025-02-03 21:45:00,2025-02-03 21:45:00,https://enfensino.com.br/captacao-fb/?utm_source=Facebook_ads&utm_medium=%7B%7Badset.name%7D%7D&utm_campaign=campanha_quente&utm_content=L0225Capta%C3%A7%C3%A3o&utm_term=%7B%7Bad.name%7D%7D,Não começou,5,https://chat.whatsapp.com/LmPMLgwyHceIIWmncvXZ7m,03/02/2025 21h - 03/02/2025 21h,
